M4;;E;D;;;
;;e2;;;Total e2;Total general
B;A;d3;d4;d5;;
b1;a05;70,40;1.089,00;;1.159,40;1.159,40
;a09;674,31;;;674,31;674,31
;a13;421,08;1.055,12;64,68;1.540,88;1.540,88
;a17;96,00;1.347,84;545,28;1.989,12;1.989,12
Total b1;;1.261,79;3.491,96;609,96;5.363,71;5.363,71
b2;a02;924,80;1.867,02;73,50;2.865,32;2.865,32
;a06;1.058,40;494,19;139,65;1.692,24;1.692,24
;a10;791,04;121,03;;912,07;912,07
;a14;4.698,00;40,96;;4.738,96;4.738,96
;a18;150,00;443,52;;593,52;593,52
Total b2;;7.622,24;2.966,72;213,15;10.802,11;10.802,11
b3;a03;658,56;203,52;148,48;1.010,56;1.010,56
;a07;92,00;1.466,08;;1.558,08;1.558,08
;a15;2.043,00;184,96;544,18;2.772,14;2.772,14
;a19;393,96;1.056,25;;1.450,21;1.450,21
Total b3;;3.187,52;2.910,81;692,66;6.790,99;6.790,99
b4;a04;263,13;204,80;489,00;956,93;956,93
;a08;69,66;1.261,17;101,50;1.432,33;1.432,33
;a12;346,00;1.008,61;124,74;1.479,35;1.479,35
;a16;1.399,68;142,08;43,36;1.585,12;1.585,12
;a20;34,88;261,95;83,00;379,83;379,83
Total b4;;2.113,35;2.878,61;841,60;5.833,56;5.833,56
Total general;;14.184,90;12.248,10;2.357,37;28.790,37;28.790,37
