Suma de M3,,E,D,,
,,e1,,Total e1,Total general
B,A,d1,d2,,
b1,a05,78.31,,78.31,78.31
,a09,40.80,32.88,73.68,73.68
,a13,35.88,12.24,48.12,48.12
,a17,33.39,44.62,78.01,78.01
Total b1,,188.38,89.74,278.12,278.12
b2,a02,25.60,45.10,70.70,70.70
,a06,63.60,30.30,93.90,93.90
,a10,9.90,25.11,35.01,35.01
,a14,40.32,25.68,66.00,66.00
,a18,44.80,27.20,72.00,72.00
Total b2,,184.22,153.39,337.61,337.61
b3,a03,12.96,26.70,39.66,39.66
,a07,13.98,,13.98,13.98
,a11,23.17,17.75,40.92,40.92
,a15,42.98,,42.98,42.98
,a19,47.15,53.77,100.92,100.92
Total b3,,140.24,98.22,238.46,238.46
b4,a04,16.56,24.16,40.72,40.72
,a08,30.42,15.15,45.57,45.57
,a12,,47.04,47.04,47.04
,a16,14.30,35.46,49.76,49.76
,a20,43.20,,43.20,43.20
Total b4,,104.48,121.81,226.29,226.29
Total general,,617.32,463.16,1080.48,1080.48
