Suma de M4,,E,D,,,
,,e2,,,Total e2,Total general
B,A,d3,d4,d5,,
b1,a05,70.40,1089.00,,1159.40,1159.40
,a09,674.31,,,674.31,674.31
,a13,421.08,1055.12,64.68,1540.88,1540.88
,a17,96.00,1347.84,545.28,1989.12,1989.12
Total b1,,1261.79,3491.96,609.96,5363.71,5363.71
b2,a02,924.80,1867.02,73.50,2865.32,2865.32
,a06,1058.40,494.19,139.65,1692.24,1692.24
,a10,791.04,121.03,,912.07,912.07
,a14,4698.00,40.96,,4738.96,4738.96
,a18,150.00,443.52,,593.52,593.52
Total b2,,7622.24,2966.72,213.15,10802.11,10802.11
b3,a03,658.56,203.52,148.48,1010.56,1010.56
,a07,92.00,1466.08,,1558.08,1558.08
,a15,2043.00,184.96,544.18,2772.14,2772.14
,a19,393.96,1056.25,,1450.21,1450.21
Total b3,,3187.52,2910.81,692.66,6790.99,6790.99
b4,a04,263.13,204.80,489.00,956.93,956.93
,a08,69.66,1261.17,101.50,1432.33,1432.33
,a12,346.00,1008.61,124.74,1479.35,1479.35
,a16,1399.68,142.08,43.36,1585.12,1585.12
,a20,34.88,261.95,83.00,379.83,379.83
Total b4,,2113.35,2878.61,841.60,5833.56,5833.56
Total general,,14184.90,12248.10,2357.37,28790.37,28790.37
